"day","date","orangeAverage","purpleAverage","greenAverage","bannerAverage","daily"
"Wednesday","07/04/2012",4267,4332.5,2445.5,1079,12124
"Thursday","07/05/2012",4541.5,5564,2173.5,740.5,13019.5
"Friday","07/06/2012",5973,6496.5,2644.5,669,15783
"Saturday","07/07/2012",4489,4410,1752.5,559.5,11211
"Sunday","07/08/2012",2698.5,2906.5,1444,552.5,7601.5
"Monday","07/09/2012",4654.5,5113,2419,830,13016.5
"Tuesday","07/10/2012",4601,5621,2429,846,13497
"Wednesday","07/11/2012",4003,5772,2662.5,665,13102.5
"Thursday","07/12/2012",4222,6027,2395,1013.5,13657.5
"Friday","07/13/2012",5253,6924.5,2610,1146.5,15934
"Saturday","07/14/2012",3461.5,4861,2064,970.5,11357
"Sunday","07/15/2012",2914.5,3421,1440,732,8507.5
"Monday","07/16/2012",4495.5,4902,2079,872,12348.5
"Tuesday","07/17/2012",3679,4493,2220,1002.5,11394.5
"Wednesday","07/18/2012",4604,4337,1832,923.5,11696.5
"Thursday","07/19/2012",4895,4310.5,2259,822.5,12287
"Friday","07/20/2012",5158.5,4046.5,2173.5,1136,12514.5
"Saturday","07/21/2012",3642.5,4395.5,1461,731.5,10230.5
"Sunday","07/22/2012",3002.5,4269,879,809.5,8960
"Monday","07/23/2012",4629.5,4392,1915,839.5,11776
"Tuesday","07/24/2012",4984,4758,2670.5,1018,13430.5
"Wednesday","07/25/2012",4968,4982,2594,1088.5,13632.5
"Thursday","07/26/2012",4748.5,5087,2373,1047,13255.5
"Friday","07/27/2012",5654.5,5782,2855.5,1263,15555
"Saturday","07/28/2012",4658,4530.5,1917,1027,12132.5
"Sunday","07/29/2012",3109,3321.5,1565.5,640,8636
"Monday","07/30/2012",4867,4916,2067,833,12683
"Tuesday","07/31/2012",4871.5,5011,2284,951.5,13118
"Wednesday","08/01/2012",5218,5091,2491,868,13668
"Thursday","08/02/2012",4848.5,4959,2053.5,987.5,12848.5
"Friday","08/03/2012",5926,6028,2474.5,1239,15667.5
"Saturday","08/04/2012",4360.5,4678,1610.5,1095.5,11744.5
"Sunday","08/05/2012",2397.5,2923,1191,672.5,7184
"Monday","08/06/2012",4640.5,4780,2300,936.5,12657
"Tuesday","08/07/2012",4899.5,5030,2068,1105,13102.5
"Wednesday","08/08/2012",4595,4914.5,2137.5,842.5,12489.5
"Thursday","08/09/2012",4651.5,4988,1985,1052.5,12677
"Friday","08/10/2012",5101.5,5221,2505,1302.5,14130
"Saturday","08/11/2012",4337.5,4207.5,1679,1049,11273
"Sunday","08/12/2012",2632,2817,1464.5,748.5,7662
"Monday","08/13/2012",4789,4840.5,2519.5,954.5,13103.5
"Tuesday","08/14/2012",5171,5063,2035.5,1059.5,13329
"Wednesday","08/15/2012",5036,5310,2458.5,1010,13814.5
"Thursday","08/16/2012",5241.5,5284,2560.5,1213,14299
"Friday","08/17/2012",4802,5651,2650,1131,14234
"Saturday","08/18/2012",3929,4718,1999.5,489,11135.5
"Sunday","08/19/2012",1862.5,2728.5,1356.5,580.5,6528
"Monday","08/20/2012",3867.5,5237,2337.5,851.5,12293.5
"Tuesday","08/21/2012",4434.5,4963,2674.5,827,12899
"Wednesday","08/22/2012",4797,5362,2756,838.5,13753.5
"Thursday","08/23/2012",4865.5,5934.5,2803.5,1011.5,14615
"Friday","08/24/2012",5448,6205,2940.5,1258.5,15852
"Saturday","08/25/2012",4112,4182.5,1816.5,963.5,11074.5
"Sunday","08/26/2012",2188,2497.5,1209.5,539.5,6434.5
"Monday","08/27/2012",4706.5,5536,1996.5,915.5,13154.5
"Tuesday","08/28/2012",4594.5,5652,1875,917,13038.5
"Wednesday","08/29/2012",4943.5,6165,2560.5,926.5,14595.5
"Thursday","08/30/2012",3847,3257.5,2206,641,9951.5
"Friday","08/31/2012",3400.5,3700,2791.5,786,10678
"Saturday","09/01/2012",3054.5,2439.5,1990,946,8430
"Sunday","09/02/2012",1673.5,1605,1113.5,819,5211
"Monday","09/03/2012",2141,1860.5,1434.5,428,5864
"Tuesday","09/04/2012",3947.5,5630,2110.5,804,12492
"Wednesday","09/05/2012",4517.5,5950.5,2295,833,13596
"Thursday","09/06/2012",4352,5814.5,2321.5,714.5,13202.5
"Friday","09/07/2012",5717.5,7007,2688.5,1301,16714
"Saturday","09/08/2012",4106.5,4740,1813.5,1343,12003
"Sunday","09/09/2012",2356.5,3471.5,1304,910.5,8042.5
"Monday","09/10/2012",4736,5776,2423.5,842.5,13778
"Tuesday","09/11/2012",4616,5403.5,2506.5,1010.5,13536.5
"Wednesday","09/12/2012",4603.5,5628.5,2631,1008,13871
"Thursday","09/13/2012",4571,5563.5,2395.5,1061.5,13591.5
"Friday","09/14/2012",5566.5,6429,2652.5,818.5,15466.5
"Saturday","09/15/2012",4524,4848.5,2141.5,1173,12687
"Sunday","09/16/2012",2298,2734.5,1314,642,6988.5
"Monday","09/17/2012",4368.5,5123.5,2398,816,12706
"Tuesday","09/18/2012",3778.5,4653.5,1981,618.5,11031.5
"Wednesday","09/19/2012",4741,5662,2442,856.5,13701.5
"Thursday","09/20/2012",4591,5667,2535,788.5,13581.5
"Friday","09/21/2012",5522,6197,2854.5,1117,15690.5
"Saturday","09/22/2012",3783,4244,2070.5,1049.5,11147
"Sunday","09/23/2012",2804.5,3438.5,1446.5,865.5,8555
"Monday","09/24/2012",4722.5,5560,2608,948.5,13839
"Tuesday","09/25/2012",4358.5,5498,2391,1015.5,13263
"Wednesday","09/26/2012",4679,5622,2554.5,891,13746.5
"Thursday","09/27/2012",4889,6183.5,2754.5,1129,14956
"Friday","09/28/2012",4986.5,6979,2719.5,1252,15937
"Saturday","09/29/2012",4183.5,4604,1543,1386.5,11717
"Sunday","09/30/2012",2486,3045.5,1391,1016,7938.5
"Monday","10/01/2012",4553.5,5679,2337,846,13415.5
"Tuesday","10/02/2012",3942.5,4994.5,1967,727,11631
"Wednesday","10/03/2012",4494,5700,2271,982.5,13447.5
"Thursday","10/04/2012",4525,5566,2499.5,982.5,13573
"Friday","10/05/2012",4850.5,7500,2635.5,1139.5,16125.5
"Saturday","10/06/2012",4563.5,4398.5,1931,867,11760
"Sunday","10/07/2012",1929.5,2486,1038,688,6141.5
"Monday","10/08/2012",4038.5,4779.5,2225,1098.5,12141.5
"Tuesday","10/09/2012",4282.5,5332.5,2225.5,910,12750.5
"Wednesday","10/10/2012",4708.5,5559,2549.5,870.5,13687.5
"Thursday","10/11/2012",4409,5485.5,2532.5,875.5,13302.5
"Friday","10/12/2012",5209.5,6427.5,2670,1028.5,15335.5
"Saturday","10/13/2012",1793,3513,1292.5,782.5,7381
"Sunday","10/14/2012",2269.5,2969,1174,763,7175.5
"Monday","10/15/2012",4020.5,5379.5,2301,759.5,12460.5
"Tuesday","10/16/2012",3895.5,5500,1933.5,715,12044
"Wednesday","10/17/2012",4243.5,5919,2327.5,976.5,13466.5
"Thursday","10/18/2012",4217,5993,2378.5,903,13491.5
"Friday","10/19/2012",4629,6134.5,2569,986,14318.5
"Saturday","10/20/2012",3123,5120,1925,1081.5,11249.5
"Sunday","10/21/2012",2152,2823.5,1323,663.5,6962
"Monday","10/22/2012",4434.5,5506,2300.5,762.5,13003.5
"Tuesday","10/23/2012",4355,5627.5,2451,945.5,13379
"Wednesday","10/24/2012",4315,5853.5,2436,917.5,13522
"Thursday","10/25/2012",4252,5693,2297,917.5,13159.5
"Friday","10/26/2012",4902.5,5695,2677.5,1126.5,14401.5
"Saturday","10/27/2012",3865.5,4575.5,2146.5,1028.5,11616
"Sunday","10/28/2012",1866,2410,1010,407.5,5693.5
"Monday","10/29/2012",0,0,0,0,NA
"Tuesday","10/30/2012",0,0,0,0,NA
"Wednesday","10/31/2012",4179,5039.5,2461,743.5,NA
"Thursday","11/01/2012",3915.5,5334.5,2345,607.5,NA
"Friday","11/02/2012",4622,5362,2719.5,899.5,NA
"Saturday","11/03/2012",3719.5,3950.5,1685,822,NA
"Sunday","11/04/2012",1851,2309,1130,519.5,NA
"Monday","11/05/2012",4005,4757,2297,1128.5,NA
"Tuesday","11/06/2012",3757.5,4249.5,1943,686.5,NA
"Wednesday","11/07/2012",3600,3978,2296.5,741,NA
"Thursday","11/08/2012",3626,4370.5,2268.5,846.5,NA
"Friday","11/09/2012",4961,5749,2861,1022,NA
"Saturday","11/10/2012",3718.5,4172,1776.5,879,NA
"Sunday","11/11/2012",2094,2560,1123.5,620.5,NA
"Monday","11/12/2012",3897,4127.5,2352,892.5,NA
"Tuesday","11/13/2012",3672,4779.5,2323,676,NA
"Wednesday","11/14/2012",4085.5,4840.5,2287.5,695,NA
"Thursday","11/15/2012",3984,4946,2466,734.5,NA
"Friday","11/16/2012",5056.5,5855.5,2593,1033,NA
"Saturday","11/17/2012",3549.5,4121.5,1450.5,1002,NA
"Sunday","11/18/2012",1842.5,2468.5,1087,510,NA
"Monday","11/19/2012",4019.5,4619.5,2320,729,NA
"Tuesday","11/20/2012",3951.5,4688.5,2063,804.5,NA
"Wednesday","11/21/2012",4037,4592,2254.5,763,NA
"Thursday","11/22/2012",0,0,0,0,NA
"Friday","11/23/2012",3839.5,3650,1792,837.5,NA
"Saturday","11/24/2012",2546.5,2935.5,1291,641,NA
"Sunday","11/25/2012",1600.5,2165,1028.5,385.5,NA
"Monday","11/26/2012",3881,4587.5,2155.5,593.5,NA
"Tuesday","11/27/2012",3320.5,4312.5,2000.5,562,NA
"Wednesday","11/28/2012",4007.5,4708.5,2483.5,649,NA
"Thursday","11/29/2012",3869.5,4681,2079,706,NA
"Friday","11/30/2012",4702,5842.5,2653.5,894,NA
"Saturday","12/01/2012",3199.5,3444.5,1871,947.5,NA
"Sunday","12/02/2012",1817,2337.5,1195,557,NA
"Monday","12/03/2012",3716,5008,2040.5,708.5,NA
"Tuesday","12/04/2012",3804.5,4633,2297,683,NA
"Wednesday","12/05/2012",3571.5,4346.5,2247,677.5,NA
"Thursday","12/06/2012",4095.5,5184,2508,778.5,NA
"Friday","12/07/2012",4410.5,4474,2361,872,NA
"Saturday","12/08/2012",3974,4437,2011.5,888.5,NA
"Sunday","12/09/2012",2040,2060.5,1044.5,372,NA
"Monday","12/10/2012",3693,4243.5,2133.5,630.5,NA
"Tuesday","12/11/2012",3687,4599.5,2281,646.5,NA
"Wednesday","12/12/2012",3864.5,5032.5,2535.5,698,NA
"Thursday","12/13/2012",3692,5165,2422.5,617.5,NA
"Friday","12/14/2012",4438.5,4988.5,2497.5,623,NA
"Saturday","12/15/2012",3397,4033.5,1659.5,842.5,NA
"Sunday","12/16/2012",1660.5,2481,1419,469,NA
"Monday","12/17/2012",3799,4927,2111.5,684.5,NA
"Tuesday","12/18/2012",3728.5,5203,2473,757,NA
"Wednesday","12/19/2012",3930,4855.5,2352.5,736.5,NA
"Thursday","12/20/2012",3363.5,4814,2079.5,655,NA
"Friday","12/21/2012",3756,5477,2294,688,NA
"Saturday","12/22/2012",2916.5,2568,1424,497,NA
"Sunday","12/23/2012",2046,1970.5,1014,477,NA
"Monday","12/24/2012",2015,2057.5,1048,353,NA
"Tuesday","12/25/2012",NA,NA,NA,NA,NA
"Wednesday","12/26/2012",2194.5,2712,1192,316.5,NA
"Thursday","12/27/2012",3097.5,3417.5,1835.5,518.5,NA
"Friday","12/28/2012",4083,4326.5,2023,669.5,NA
"Saturday","12/29/2012",2532,2536.5,1360,450,NA
"Sunday","12/30/2012",1865.5,2169,1009.5,326,NA
"Monday","12/31/2012",4092,4935.5,1989,618,NA
"Tuesday","01/01/2013",1887.5,1880.5,1002,314,NA
"Wednesday","01/02/2013",3930.5,4304.5,2020.5,606,NA
"Thursday","01/03/2013",4008,4374.5,2213,662,NA
"Friday","01/04/2013",4214.5,4894.5,2243.5,784,NA
"Saturday","01/05/2013",2886.5,3057,1232,463,NA
"Sunday","01/06/2013",1984.5,2024,961.5,470,NA
"Monday","01/07/2013",3612.5,5074,2217,631.5,NA
"Tuesday","01/08/2013",3731,4294.5,2315.5,632,NA
"Wednesday","01/09/2013",3683.5,4364.5,2249.5,651.5,NA
"Thursday","01/10/2013",3956.5,3568,2256.5,725.5,NA
"Friday","01/11/2013",4114,4779,2181,744,NA
"Saturday","01/12/2013",2482,3753.5,1699,741.5,NA
"Sunday","01/13/2013",1795,2040.5,1243.5,394,NA
"Monday","01/14/2013",3509,4348,2243.5,644,NA
"Tuesday","01/15/2013",3858,4570,2301.5,609.5,NA
"Wednesday","01/16/2013",3702,4303,2350,584,NA
"Thursday","01/17/2013",3923,4516.5,2298,674.5,NA
"Friday","01/18/2013",4534,5295,2272.5,717,NA
"Saturday","01/19/2013",3388,3104.5,1704,806.5,NA
"Sunday","01/20/2013",2420,2809,1266,624,NA
"Monday","01/21/2013",2361.5,2824,1675,473,NA
"Tuesday","01/22/2013",3513,4028.5,2223,527.5,NA
"Wednesday","01/23/2013",3090.5,4115.5,2262,520,NA
"Thursday","01/24/2013",3096.5,4200,2207,614.5,NA
"Friday","01/25/2013",3528,5077.5,2305,697.5,NA
"Saturday","01/26/2013",3030.5,3819.5,1287,547,NA
"Sunday","01/27/2013",1798.5,2253.5,1383.5,407,NA
"Monday","01/28/2013",3639.5,4446.5,2279.5,607,NA
"Tuesday","01/29/2013",3648,5147,2417.5,697.5,NA
"Wednesday","01/30/2013",3635.5,4494.5,2485.5,671,NA
"Thursday","01/31/2013",3547.5,4429.5,2424.5,679.5,NA
"Friday","02/01/2013",4088.5,5342.5,2517.5,729,NA
"Saturday","02/02/2013",2437,3528,1506.5,499.5,NA
"Sunday","02/03/2013",1796,2220,959.5,536.5,NA
"Monday","02/04/2013",3477.5,4046,2223.5,588,NA
"Tuesday","02/05/2013",3254,4124.5,2454.5,974,NA
"Wednesday","02/06/2013",3475.5,4222.5,2322,634,NA
"Thursday","02/07/2013",3451.5,4716.5,2268.5,760.5,NA
"Friday","02/08/2013",3754.5,5775,2128,715,NA
"Saturday","02/09/2013",2958.5,3626,1578,557.5,NA
"Sunday","02/10/2013",1824.5,2548,1304,429,NA
"Monday","02/11/2013",3538.5,4878.5,2113,579,NA
"Tuesday","02/12/2013",3392,4316,2310.5,576,NA
"Wednesday","02/13/2013",3492,4914,2345,830.5,NA
"Thursday","02/14/2013",3625,5026.5,2401.5,755,NA
"Friday","02/15/2013",4256.5,5699.5,2832,905.5,NA
"Saturday","02/16/2013",3209,2763,1426,531.5,NA
"Sunday","02/17/2013",1916.5,2106.5,1369,391.5,NA
"Monday","02/18/2013",2854,3357,2033,646.5,NA
"Tuesday","02/19/2013",3535.5,4405.5,2107.5,623,NA
"Wednesday","02/20/2013",3432.5,4572.5,2291,609.5,NA
"Thursday","02/21/2013",3637,4671.5,2483,727.5,NA
"Friday","02/22/2013",3958,4173.5,2286.5,893.5,NA
"Saturday","02/23/2013",3562.5,2652.5,1619.5,714,NA
"Sunday","02/24/2013",2103.5,2288.5,1397,431,NA
"Monday","02/25/2013",3974.5,5027,2356,744.5,NA
"Tuesday","02/26/2013",3455,4890,2318,652,NA
"Wednesday","02/27/2013",4018.5,4730.5,2620.5,659,NA
"Thursday","02/28/2013",3893,4658,2285.5,688.5,NA
"Friday","03/01/2013",4477.5,5252.5,2635.5,822,NA
